Date : 2019-10-23 13:36:49
Directory : /Users/jason/work/私活/faceDog/src
Total : 375 files,  24520 codes, 1683 comments, 1768 blanks, all 27971 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         82 |     11,689 |      1,281 |        865 |     13,835 |
| Vue.js     |         56 |     10,950 |        399 |        647 |     11,996 |
| wxml       |         52 |      1,219 |          3 |        112 |      1,334 |
| JSON       |         52 |        272 |          0 |         40 |        312 |
| TypeScript |         68 |        175 |          0 |         68 |        243 |
| CSS        |         60 |        112 |          0 |         12 |        124 |
| wxs        |          5 |        103 |          0 |         24 |        127 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                         |        375 |     24,520 |      1,683 |      1,768 |     27,971 |
| components                                                |        326 |     10,181 |        229 |        583 |     10,993 |
| utils                                                     |         11 |      7,646 |      1,211 |        763 |      9,620 |
| pages                                                     |         35 |      6,489 |        240 |        408 |      7,137 |
| components/vant                                           |        302 |      5,480 |         39 |        317 |      5,836 |
| pages/my                                                  |         16 |      2,850 |         74 |        183 |      3,107 |
| components/battle                                         |          4 |      1,072 |        117 |         55 |      1,244 |
| components/chat                                           |          5 |      1,024 |         11 |         63 |      1,098 |
| pages/register                                            |          6 |        901 |         56 |         71 |      1,028 |
| components/discover                                       |          3 |        881 |         36 |         30 |        947 |
| components/register                                       |          5 |        831 |         23 |         52 |        906 |
| pages/chat                                                |          3 |        740 |          9 |         51 |        800 |
| pages/battle                                              |          1 |        476 |         22 |         16 |        514 |
| components/vant/tabs                                      |          5 |        356 |          3 |          7 |        366 |
| pages/my/miniprogram_npm/miniprogram-drawimage            |          4 |        350 |         31 |         34 |        415 |
| pages/my/miniprogram_npm                                  |          4 |        350 |         31 |         34 |        415 |
| components/vant/mixins                                    |         20 |        349 |          1 |         20 |        370 |
| pages/fabu                                                |          1 |        325 |          6 |         11 |        342 |
| components/rank                                           |          2 |        317 |          0 |         16 |        333 |
| components/vant/datetime-picker                           |          5 |        301 |          3 |          4 |        308 |
| pages/rank                                                |          1 |        300 |          5 |         13 |        318 |
| components/vant/dialog                                    |          7 |        267 |          1 |         10 |        278 |
| components/my                                             |          1 |        260 |          2 |         14 |        276 |
| components/vant/picker                                    |          7 |        231 |         11 |          7 |        249 |
| components/vant/field                                     |          5 |        223 |          1 |          4 |        228 |
| components/vant/area                                      |          5 |        181 |          2 |          4 |        187 |
| components/vant/picker-column                             |          5 |        170 |          0 |          5 |        175 |
| components/vant/notice-bar                                |          5 |        163 |          0 |          6 |        169 |
| components/vant/toast                                     |          7 |        159 |          3 |          8 |        170 |
| components/vant/collapse-item                             |          5 |        145 |          0 |          5 |        150 |
| components/vant/swipe-cell                                |          5 |        137 |          0 |          4 |        141 |
| components/vant/stepper                                   |          5 |        127 |          1 |          4 |        132 |
| pages/activity                                            |          2 |        121 |          1 |         22 |        144 |
| components/vant/tree-select                               |          5 |        120 |          5 |          5 |        130 |
| components/vant/slider                                    |          5 |        120 |          0 |          5 |        125 |
| components/vant/rate                                      |          5 |        112 |          0 |          6 |        118 |
| pages/ta                                                  |          2 |        106 |          0 |         15 |        121 |
| components/vant/search                                    |          5 |        104 |          0 |          7 |        111 |
| components/vant/wxs                                       |          5 |        103 |          0 |         24 |        127 |
| components/vant/notify                                    |          7 |         99 |          0 |          6 |        105 |
| components/vant/mixins/observer                           |          6 |         98 |          1 |          6 |        105 |
| components/vant/action-sheet                              |          5 |         98 |          1 |          5 |        104 |
